internship_id,title,company,location,duration,required_skills
INT0001,Digital Marketing Intern,Quantum Labs,Hyderabad,1 Month,"SEO, Email Marketing, Google Analytics, Content Writing"
INT0002,Graphic Design Intern,Rapidscale Technologies,Kolkata,1 Month,"Figma, Canva, Adobe XD, Sketch, Prototyping"
INT0003,UI/UX Design Intern,Horizon Digital,Delhi (Remote),1 Month,"User Research, Prototyping, Illustrator, Sketch"
INT0004,Finance Intern,DataSphere Inc,Chennai,1 Month,"Risk Analysis, Bloomberg Terminal, Statistics, Financial Modeling"
INT0005,Data Science Intern,Brightpath Analytics,Gurgaon,1 Month,"Scikit-learn, Computer Vision, NumPy, NLP, TensorFlow"
INT0006,Cloud Engineering Intern,DataSphere Inc,Hyderabad,1 Month,"Git, CI/CD, Linux, Shell Scripting"
INT0007,Digital Marketing Intern,Skyline Digital,Remote,3 Months,"Email Marketing, Content Writing, Google Analytics, Copywriting"
INT0008,DevOps Intern,Vertex Solutions,Kolkata,2 Months,"Linux, Docker, Shell Scripting, Git, Azure, Terraform"
INT0009,UI/UX Design Intern,CloudNine Systems,Chennai,1 Month,"Illustrator, Photoshop, Sketch, Canva, User Research, UI/UX Design"
INT0010,Frontend Developer Intern,DataSphere Inc,Kolkata,3 Months,"REST APIs, Git, Node.js, HTML"
INT0011,Frontend Developer Intern,CloudNine Systems,Noida,3 Months,"MongoDB, Git, TypeScript, CSS, JavaScript, Express.js"
INT0012,Content Marketing Intern,Zenith Software,Hyderabad,1 Month,"Copywriting, Branding, Canva, Content Writing, Google Ads, Email Marketing"
INT0013,Business Analyst Intern,Vertex Solutions,Remote,6 Months,"Accounting, Data Visualization, Risk Analysis, Statistics"
INT0014,Graphic Design Intern,Skyline Digital,Noida,3 Months,"User Research, UI/UX Design, Figma, Wireframing, Prototyping"
INT0015,Finance Intern,Nexora Technologies,Delhi (Remote),2 Months,"Bloomberg Terminal, Financial Modeling, Statistics, SQL, Valuation, Risk Analysis"
INT0016,UI/UX Design Intern,Streamline Ventures,Pune,1 Month,"UI/UX Design, User Research, Illustrator, Adobe XD"
INT0017,Graphic Design Intern,CloudNine Systems,Bangalore,2 Months,"Sketch, Figma, Adobe XD, Photoshop, Prototyping"
INT0018,Graphic Design Intern,Vantage Point Analytics,Pune,2 Months,"Adobe XD, Sketch, Canva, Prototyping"
INT0019,Digital Marketing Intern,Coreway Systems,Mumbai,2 Months,"Google Ads, Social Media Marketing, Email Marketing, Market Research, Copywriting"
